Area_sqft,Bedrooms,Bathrooms,Age_of_House,Distance_to_City_km,Parking_Spaces,Floor_Number,Nearby_Schools,Crime_Rate,House_Price
2284.0,4.0,4.0,19.0,8.1,2.0,2.0,,2.3,580000
,3.0,2.0,21.0,4.9,1.0,2.0,6.0,5.3,397000
974.0,1.0,1.0,23.0,10.6,0.0,0.0,,7.3,211000
,4.0,2.0,35.0,7.5,1.0,5.0,4.0,4.4,403000
901.0,2.0,1.0,17.0,9.7,1.0,7.0,3.0,4.9,153000
1544.0,2.0,2.0,24.0,,1.0,2.0,7.0,5.5,313000
600.0,1.0,1.0,9.0,6.3,1.0,4.0,4.0,5.2,187000
852.0,2.0,1.0,45.0,10.9,0.0,0.0,2.0,3.0,100000
1539.0,2.0,1.0,16.0,6.5,1.0,9.0,5.0,,373000
1782.0,3.0,2.0,9.0,14.9,0.0,6.0,3.0,3.1,442000
1527.0,3.0,3.0,11.0,6.4,2.0,9.0,3.0,5.7,478000
1398.0,3.0,2.0,2.0,8.9,,0.0,4.0,5.5,397000
1315.0,2.0,1.0,,11.7,0.0,10.0,5.0,1.0,298000
785.0,1.0,1.0,1.0,2.3,,8.0,2.0,3.9,280000
1126.0,2.0,1.0,25.0,1.0,1.0,7.0,7.0,4.6,353000
1243.0,1.0,1.0,20.0,1.9,2.0,6.0,6.0,4.7,277000
1926.0,3.0,2.0,7.0,13.1,3.0,9.0,4.0,5.0,385000
1605.0,2.0,1.0,14.0,5.8,-0.0,6.0,3.0,5.9,255000
657.0,1.0,1.0,15.0,18.2,2.0,4.0,,4.5,100000
1596.0,3.0,3.0,6.0,5.7,1.0,4.0,6.0,5.1,345000
,3.0,,13.0,8.7,2.0,10.0,6.0,,370000
,3.0,2.0,15.0,14.2,2.0,4.0,6.0,2.7,231000
1725.0,3.0,1.0,12.0,16.0,1.0,0.0,4.0,4.6,250000
1914.0,3.0,3.0,9.0,16.2,,7.0,,5.8,379000
,3.0,2.0,6.0,12.8,1.0,10.0,7.0,6.5,410000
1072.0,2.0,1.0,12.0,12.1,2.0,0.0,4.0,5.5,221000
,2.0,1.0,10.0,10.4,2.0,3.0,6.0,6.9,330000
1599.0,3.0,2.0,22.0,11.1,,8.0,8.0,5.3,409000
1889.0,3.0,2.0,36.0,5.8,1.0,8.0,9.0,6.1,458000
,3.0,2.0,27.0,4.7,1.0,4.0,3.0,,261000
1366.0,,2.0,16.0,8.0,0.0,3.0,5.0,4.1,388000
952.0,,1.0,9.0,7.3,-0.0,2.0,,,240000
912.0,2.0,1.0,27.0,6.2,0.0,2.0,3.0,2.8,170000
1816.0,4.0,2.0,,10.8,2.0,4.0,3.0,5.1,418000
2060.0,,2.0,,11.8,2.0,9.0,3.0,5.5,310000
1418.0,3.0,2.0,17.0,8.4,0.0,0.0,4.0,6.4,363000
1902.0,3.0,3.0,43.0,13.9,2.0,4.0,4.0,6.0,298000
1613.0,,1.0,17.0,3.4,1.0,5.0,3.0,6.4,267000
1160.0,2.0,2.0,9.0,7.2,2.0,6.0,3.0,4.3,312000
1613.0,3.0,3.0,10.0,5.1,3.0,8.0,6.0,3.9,426000
2142.0,4.0,1.0,21.0,,2.0,2.0,7.0,4.0,564000
1434.0,4.0,2.0,9.0,7.7,1.0,1.0,,5.0,344000
2154.0,5.0,,43.0,7.5,1.0,2.0,4.0,1.2,439000
600.0,3.0,1.0,20.0,14.1,-0.0,8.0,6.0,6.9,100000
1820.0,,1.0,15.0,10.5,1.0,6.0,5.0,4.6,383000
1489.0,3.0,1.0,16.0,3.9,,8.0,3.0,3.8,289000
1315.0,3.0,3.0,12.0,15.4,1.0,1.0,6.0,0.5,346000
1491.0,4.0,3.0,3.0,12.9,1.0,4.0,3.0,4.4,334000
600.0,,1.0,10.0,10.3,2.0,3.0,4.0,4.1,100000
1351.0,2.0,2.0,40.0,7.1,1.0,1.0,2.0,2.9,219000
1611.0,3.0,1.0,18.0,4.2,1.0,8.0,4.0,3.3,350000
2115.0,2.0,1.0,30.0,6.5,2.0,8.0,,4.5,416000
1217.0,2.0,2.0,30.0,12.4,2.0,5.0,7.0,3.4,322000
1086.0,1.0,1.0,15.0,15.5,1.0,10.0,4.0,5.5,259000
1224.0,2.0,2.0,23.0,14.2,3.0,5.0,3.0,3.2,275000
1862.0,4.0,2.0,3.0,6.0,1.0,7.0,7.0,4.8,477000
1598.0,4.0,2.0,38.0,3.5,2.0,5.0,4.0,6.6,266000
1212.0,3.0,2.0,36.0,8.6,2.0,0.0,1.0,4.4,214000
1681.0,3.0,2.0,21.0,1.0,2.0,3.0,5.0,5.1,399000
1494.0,2.0,1.0,18.0,,2.0,6.0,4.0,5.0,273000
1886.0,4.0,3.0,15.0,7.4,2.0,1.0,9.0,4.5,500000
1134.0,1.0,1.0,32.0,6.1,1.0,8.0,5.0,4.4,253000
1303.0,4.0,3.0,25.0,1.6,2.0,,4.0,3.5,334000
1274.0,3.0,,11.0,,,7.0,3.0,4.8,235000
791.0,1.0,1.0,6.0,5.9,2.0,6.0,,4.0,216000
1583.0,2.0,1.0,,3.3,1.0,3.0,7.0,7.3,326000
,4.0,2.0,32.0,1.0,1.0,1.0,5.0,,270000
1452.0,3.0,3.0,14.0,7.9,1.0,2.0,3.0,1.9,295000
1344.0,,2.0,21.0,15.1,-0.0,5.0,5.0,2.0,204000
813.0,1.0,1.0,,14.6,1.0,4.0,4.0,4.3,182000
,2.0,2.0,5.0,6.2,2.0,7.0,5.0,3.8,411000
1296.0,2.0,1.0,4.0,5.6,2.0,5.0,4.0,4.2,258000
1089.0,2.0,,11.0,9.9,1.0,5.0,4.0,,243000
1377.0,2.0,1.0,11.0,4.0,3.0,0.0,,5.1,346000
1632.0,3.0,,11.0,9.2,1.0,3.0,6.0,5.1,290000
2299.0,,1.0,12.0,11.1,2.0,4.0,4.0,7.1,412000
1529.0,3.0,3.0,,12.9,2.0,10.0,4.0,2.0,395000
1566.0,3.0,1.0,29.0,7.6,1.0,2.0,3.0,4.7,296000
1416.0,3.0,3.0,18.0,7.2,3.0,8.0,5.0,3.5,367000
600.0,2.0,1.0,14.0,,,0.0,5.0,7.1,122000
1438.0,2.0,1.0,15.0,4.7,2.0,5.0,4.0,0.5,235000
1477.0,2.0,1.0,24.0,7.1,2.0,5.0,3.0,0.6,310000
2558.0,6.0,4.0,14.0,9.5,1.0,9.0,8.0,5.0,702000
1363.0,3.0,2.0,27.0,11.7,3.0,4.0,1.0,6.5,205000
1586.0,2.0,2.0,19.0,4.8,1.0,4.0,5.0,5.9,240000
,4.0,3.0,50.0,14.0,2.0,9.0,7.0,3.1,268000
924.0,2.0,1.0,13.0,6.9,2.0,4.0,1.0,7.2,221000
1964.0,4.0,2.0,31.0,7.9,1.0,5.0,6.0,,384000
1788.0,3.0,2.0,6.0,5.0,2.0,7.0,4.0,6.9,372000
1806.0,5.0,3.0,9.0,1.0,2.0,1.0,5.0,2.5,502000
,3.0,1.0,47.0,11.5,-0.0,5.0,4.0,3.9,145000
2081.0,,2.0,27.0,10.9,3.0,0.0,6.0,5.7,345000
819.0,,2.0,21.0,,0.0,3.0,,1.9,196000
1714.0,4.0,3.0,,8.3,2.0,9.0,5.0,7.1,310000
2436.0,5.0,3.0,14.0,10.1,3.0,2.0,3.0,3.9,491000
1004.0,1.0,1.0,31.0,1.7,1.0,,,4.7,190000
1195.0,3.0,2.0,32.0,5.9,1.0,2.0,5.0,6.6,287000
1495.0,3.0,2.0,41.0,11.2,1.0,5.0,9.0,3.1,270000
1223.0,1.0,1.0,6.0,3.0,1.0,0.0,8.0,6.4,199000
752.0,1.0,1.0,14.0,9.2,1.0,5.0,,7.5,124000
1481.0,,1.0,19.0,2.6,2.0,3.0,3.0,3.3,321000
972.0,2.0,2.0,40.0,,,7.0,3.0,7.0,134000
1663.0,4.0,2.0,20.0,7.9,3.0,10.0,4.0,1.3,383000
1036.0,3.0,,32.0,1.5,1.0,8.0,5.0,5.2,260000
2147.0,4.0,3.0,5.0,12.7,1.0,3.0,5.0,2.3,455000
1098.0,3.0,2.0,12.0,5.1,-0.0,9.0,6.0,6.2,347000
1305.0,1.0,,36.0,,1.0,9.0,7.0,6.0,232000
1816.0,2.0,2.0,13.0,8.8,2.0,5.0,6.0,8.2,402000
896.0,2.0,2.0,15.0,12.6,3.0,0.0,3.0,7.1,140000
1552.0,3.0,1.0,40.0,,0.0,3.0,3.0,4.2,234000
2038.0,4.0,2.0,,,1.0,6.0,5.0,2.6,502000
727.0,1.0,,9.0,9.7,1.0,0.0,5.0,5.5,115000
1533.0,3.0,2.0,5.0,10.8,2.0,7.0,4.0,4.4,400000
1567.0,2.0,2.0,41.0,,1.0,9.0,2.0,7.3,203000
1802.0,4.0,2.0,29.0,6.5,,10.0,6.0,0.6,410000
893.0,2.0,1.0,,4.7,1.0,5.0,4.0,8.4,241000
856.0,1.0,1.0,12.0,8.3,1.0,,4.0,5.5,152000
1685.0,3.0,2.0,4.0,3.7,2.0,9.0,,3.0,437000
1584.0,2.0,1.0,3.0,1.0,2.0,10.0,4.0,5.8,409000
1563.0,3.0,1.0,36.0,9.7,,8.0,,,261000
,4.0,2.0,22.0,11.6,1.0,1.0,2.0,4.7,305000
1144.0,1.0,1.0,25.0,,1.0,4.0,4.0,1.3,242000
1555.0,3.0,3.0,,4.0,1.0,,6.0,4.0,332000
1582.0,3.0,1.0,8.0,10.5,1.0,6.0,5.0,6.4,335000
,1.0,2.0,12.0,16.2,3.0,4.0,6.0,5.4,199000
2290.0,4.0,,7.0,8.1,2.0,8.0,3.0,4.2,544000
1663.0,2.0,1.0,6.0,5.1,1.0,0.0,2.0,,365000
914.0,1.0,1.0,27.0,7.3,2.0,6.0,4.0,5.8,100000
1745.0,2.0,2.0,4.0,13.5,1.0,9.0,3.0,6.0,393000
1011.0,3.0,2.0,7.0,,,,4.0,3.8,298000
1804.0,3.0,2.0,13.0,4.8,2.0,3.0,5.0,3.6,406000
1971.0,3.0,3.0,16.0,6.1,1.0,8.0,4.0,1.4,405000
1081.0,2.0,1.0,5.0,4.2,2.0,10.0,2.0,4.0,286000
1884.0,3.0,3.0,20.0,8.5,0.0,4.0,3.0,6.2,359000
1636.0,3.0,2.0,18.0,14.5,0.0,3.0,5.0,4.1,345000
1820.0,4.0,3.0,35.0,9.3,0.0,6.0,6.0,5.3,329000
2304.0,5.0,4.0,16.0,7.0,2.0,3.0,6.0,6.5,615000
,2.0,1.0,22.0,6.8,3.0,2.0,5.0,5.2,304000
1111.0,2.0,,8.0,1.7,4.0,8.0,4.0,5.3,345000
1050.0,2.0,2.0,9.0,11.5,2.0,10.0,5.0,2.1,274000
1083.0,,1.0,5.0,7.7,2.0,7.0,4.0,3.9,237000
1415.0,2.0,2.0,9.0,7.3,,0.0,5.0,7.6,270000
1604.0,4.0,3.0,12.0,20.8,1.0,6.0,3.0,4.7,317000
1575.0,4.0,3.0,33.0,9.2,1.0,8.0,5.0,7.9,318000
,3.0,1.0,8.0,5.0,1.0,7.0,5.0,3.2,374000
,3.0,2.0,50.0,6.3,1.0,7.0,5.0,,267000
,4.0,2.0,23.0,12.6,,5.0,2.0,3.8,335000
1331.0,5.0,3.0,20.0,8.5,-0.0,10.0,5.0,5.6,363000
2674.0,6.0,4.0,,2.2,2.0,3.0,2.0,6.1,596000
1732.0,3.0,2.0,,11.7,1.0,7.0,5.0,5.6,383000
1064.0,1.0,1.0,,5.3,2.0,2.0,3.0,6.4,261000
968.0,1.0,,4.0,,3.0,8.0,8.0,4.5,286000
1667.0,3.0,2.0,8.0,12.3,,1.0,5.0,4.2,356000
1349.0,2.0,2.0,41.0,6.2,0.0,1.0,6.0,1.3,267000
1771.0,2.0,2.0,22.0,13.1,1.0,6.0,8.0,5.6,321000
1663.0,3.0,2.0,41.0,8.3,2.0,9.0,3.0,4.8,329000
1417.0,2.0,2.0,9.0,11.4,3.0,3.0,5.0,4.4,354000
1069.0,3.0,2.0,6.0,9.9,0.0,9.0,2.0,4.2,184000
768.0,2.0,1.0,15.0,4.6,2.0,7.0,5.0,4.4,241000
1249.0,2.0,,8.0,5.4,1.0,8.0,8.0,4.1,408000
,4.0,3.0,18.0,12.1,1.0,6.0,,3.5,367000
1546.0,3.0,,4.0,6.7,4.0,4.0,3.0,4.9,361000
889.0,1.0,,2.0,6.4,0.0,7.0,4.0,5.4,187000
1528.0,4.0,2.0,19.0,4.2,2.0,3.0,8.0,,341000
1623.0,3.0,3.0,42.0,9.7,2.0,1.0,6.0,3.8,323000
1052.0,1.0,1.0,20.0,16.3,2.0,10.0,,4.1,164000
1519.0,3.0,2.0,22.0,3.7,2.0,5.0,7.0,4.5,383000
1476.0,2.0,1.0,16.0,8.1,2.0,8.0,,4.3,300000
936.0,1.0,1.0,17.0,13.6,1.0,0.0,8.0,5.7,131000
1611.0,4.0,3.0,4.0,7.7,2.0,10.0,6.0,1.5,478000
1702.0,,2.0,8.0,9.8,1.0,,8.0,1.8,458000
1937.0,,2.0,33.0,3.8,2.0,6.0,,4.8,343000
1924.0,4.0,2.0,12.0,9.7,1.0,9.0,5.0,3.4,445000
830.0,1.0,1.0,33.0,7.3,2.0,8.0,4.0,6.1,147000
1028.0,2.0,1.0,17.0,11.9,1.0,9.0,3.0,,153000
1682.0,3.0,2.0,17.0,12.7,,8.0,2.0,4.9,345000
1681.0,2.0,1.0,12.0,18.4,1.0,9.0,5.0,2.6,276000
1682.0,3.0,3.0,24.0,10.3,-0.0,10.0,6.0,6.4,380000
3184.0,5.0,3.0,28.0,9.3,3.0,2.0,,4.9,621000
1707.0,3.0,2.0,8.0,8.8,1.0,10.0,4.0,1.8,335000
,4.0,2.0,5.0,6.6,1.0,4.0,4.0,2.0,463000
1879.0,3.0,3.0,3.0,,,7.0,2.0,7.2,406000
1743.0,3.0,2.0,21.0,6.8,3.0,7.0,7.0,6.9,348000
1308.0,,2.0,20.0,8.7,,3.0,5.0,0.5,310000
1792.0,4.0,2.0,50.0,13.3,4.0,10.0,6.0,2.1,386000
1102.0,2.0,1.0,16.0,4.0,2.0,10.0,6.0,6.6,240000
1343.0,2.0,,14.0,,2.0,0.0,7.0,4.5,258000
1232.0,2.0,1.0,18.0,13.3,1.0,0.0,3.0,5.8,176000
1487.0,3.0,3.0,19.0,7.5,2.0,3.0,6.0,4.4,330000
2492.0,3.0,2.0,13.0,1.0,2.0,5.0,4.0,5.7,547000
610.0,1.0,,8.0,,2.0,,8.0,4.5,227000
,3.0,3.0,15.0,13.2,2.0,5.0,3.0,3.7,314000
724.0,,1.0,,7.9,2.0,8.0,7.0,6.4,173000
1238.0,2.0,,15.0,4.0,1.0,8.0,5.0,4.9,337000
1940.0,2.0,2.0,,6.0,1.0,1.0,5.0,5.7,419000
1479.0,2.0,,15.0,11.4,1.0,,5.0,4.8,327000
,2.0,1.0,5.0,,3.0,0.0,7.0,3.6,252000
,2.0,1.0,9.0,7.0,2.0,1.0,,,227000
1756.0,3.0,,13.0,6.5,0.0,4.0,2.0,5.1,364000
1121.0,2.0,1.0,16.0,6.4,2.0,,7.0,3.9,277000
1547.0,2.0,1.0,22.0,4.3,2.0,3.0,6.0,6.8,237000
1471.0,3.0,,16.0,14.5,,8.0,6.0,2.1,345000
1157.0,1.0,1.0,2.0,6.7,1.0,10.0,2.0,8.5,289000
2415.0,4.0,3.0,5.0,12.9,3.0,7.0,3.0,4.2,548000
1735.0,3.0,2.0,22.0,14.1,2.0,5.0,1.0,,257000
600.0,1.0,2.0,13.0,12.0,1.0,0.0,5.0,7.9,100000
1534.0,3.0,1.0,17.0,6.3,2.0,,2.0,3.7,217000
1152.0,,3.0,,9.6,1.0,5.0,1.0,4.9,337000
1834.0,3.0,2.0,9.0,7.9,0.0,10.0,7.0,5.8,393000
1093.0,3.0,2.0,12.0,4.4,1.0,1.0,6.0,6.6,395000
1398.0,2.0,,,9.3,2.0,9.0,4.0,5.0,388000
1677.0,3.0,1.0,15.0,3.3,2.0,4.0,4.0,3.3,329000
1840.0,4.0,,28.0,12.8,2.0,4.0,1.0,,307000
910.0,1.0,1.0,4.0,6.1,2.0,5.0,6.0,3.7,272000
1299.0,2.0,,4.0,8.8,2.0,5.0,3.0,,221000
1236.0,3.0,,13.0,9.1,1.0,,5.0,7.4,260000
1156.0,2.0,3.0,22.0,7.0,2.0,1.0,,5.9,212000
2244.0,4.0,2.0,25.0,10.3,2.0,9.0,6.0,4.9,537000
1632.0,3.0,2.0,9.0,,2.0,2.0,3.0,5.8,365000
,2.0,1.0,1.0,11.5,3.0,5.0,2.0,6.0,194000
1863.0,,2.0,10.0,2.6,2.0,7.0,4.0,2.6,417000
2405.0,5.0,3.0,,8.5,2.0,10.0,3.0,4.6,555000
1915.0,4.0,3.0,15.0,15.8,2.0,0.0,6.0,,354000
766.0,2.0,2.0,22.0,4.0,1.0,0.0,4.0,6.7,181000
1232.0,2.0,1.0,32.0,5.3,1.0,10.0,7.0,3.6,237000
2020.0,,1.0,13.0,10.1,,1.0,5.0,3.4,308000
1132.0,2.0,2.0,11.0,8.7,1.0,10.0,6.0,3.4,250000
1650.0,3.0,2.0,7.0,9.4,1.0,5.0,,6.1,327000
1799.0,3.0,2.0,4.0,,1.0,8.0,7.0,7.4,391000
1033.0,2.0,1.0,3.0,10.5,1.0,3.0,2.0,5.5,193000
1423.0,4.0,2.0,9.0,12.4,1.0,2.0,5.0,4.8,317000
600.0,,2.0,29.0,9.6,,,4.0,3.7,111000
989.0,2.0,,24.0,7.0,2.0,10.0,7.0,5.1,327000
1336.0,3.0,2.0,10.0,10.7,2.0,9.0,7.0,3.0,397000
888.0,1.0,1.0,50.0,15.6,1.0,8.0,5.0,1.0,100000
2185.0,3.0,2.0,9.0,7.5,2.0,10.0,2.0,7.4,444000
806.0,1.0,1.0,34.0,4.1,2.0,4.0,5.0,2.7,155000
1252.0,1.0,1.0,39.0,12.4,,8.0,2.0,3.9,100000
1509.0,2.0,3.0,21.0,7.5,1.0,1.0,7.0,5.7,331000
2099.0,4.0,2.0,9.0,1.0,,2.0,,7.1,475000
804.0,3.0,1.0,11.0,11.4,1.0,6.0,4.0,5.0,120000
1973.0,4.0,2.0,17.0,5.9,2.0,6.0,3.0,2.4,457000
1455.0,2.0,1.0,5.0,7.6,1.0,5.0,3.0,4.0,285000
1008.0,2.0,1.0,7.0,9.3,1.0,5.0,6.0,3.3,264000
1658.0,,2.0,6.0,,-0.0,1.0,4.0,4.4,295000
1540.0,3.0,2.0,22.0,10.8,2.0,9.0,5.0,6.7,376000
1180.0,3.0,2.0,32.0,6.3,0.0,,3.0,0.5,258000
1481.0,2.0,1.0,24.0,10.1,2.0,3.0,6.0,3.8,324000
1277.0,3.0,3.0,29.0,7.0,2.0,2.0,6.0,,364000
,3.0,3.0,8.0,11.0,3.0,10.0,4.0,2.2,344000
1748.0,3.0,2.0,12.0,10.5,0.0,1.0,7.0,5.6,320000
2164.0,4.0,2.0,12.0,4.3,0.0,0.0,,2.0,475000
893.0,3.0,3.0,20.0,12.3,2.0,10.0,6.0,2.2,261000
2410.0,5.0,4.0,9.0,5.9,3.0,10.0,2.0,6.0,563000
600.0,1.0,2.0,28.0,,3.0,4.0,,7.2,186000
1382.0,2.0,2.0,39.0,9.5,2.0,1.0,4.0,4.4,215000
,3.0,2.0,21.0,,1.0,1.0,5.0,,268000
1576.0,3.0,2.0,11.0,7.1,2.0,6.0,5.0,3.2,343000
1170.0,2.0,2.0,8.0,6.6,1.0,7.0,5.0,6.3,386000
1356.0,3.0,2.0,6.0,7.9,2.0,9.0,,4.7,356000
1228.0,2.0,2.0,2.0,6.8,2.0,7.0,3.0,,252000
1185.0,2.0,2.0,13.0,11.2,2.0,3.0,6.0,5.1,191000
1832.0,4.0,3.0,12.0,1.5,4.0,0.0,7.0,,479000
1611.0,4.0,3.0,,3.8,,,,7.3,363000
1138.0,2.0,2.0,9.0,3.7,1.0,6.0,3.0,3.2,335000
1855.0,3.0,2.0,13.0,11.8,1.0,0.0,3.0,2.9,385000
1588.0,2.0,1.0,18.0,14.8,-0.0,10.0,3.0,2.0,257000
1816.0,3.0,3.0,21.0,7.6,1.0,,4.0,3.5,361000
1733.0,3.0,1.0,24.0,7.3,1.0,7.0,6.0,2.5,368000
