Age,Years_At_Company,Monthly_Salary,Performance_Score,Training_Hours,Projects_Completed,Overtime_Hours,Promotion
51,4,50400,6.0,38,6,4,Yes
32,10,80200,8.3,47,5,12,Yes
49,4,88100,7.2,48,3,13,Yes
46,5,62800,8.7,45,6,16,No
60,10,91600,9.5,40,5,12,Yes
54,3,78800,6.8,29,6,9,No
22,4,59500,5.8,38,3,6,No
48,7,86100,7.7,28,4,13,No
34,5,57500,6.0,2,6,7,No
24,10,86000,10.0,50,5,18,Yes
60,4,78800,7.0,50,4,1,No
27,2,43100,6.1,9,4,9,No
29,3,77100,7.0,27,2,13,No
48,5,77200,5.0,42,7,14,Yes
30,8,96300,5.8,61,7,30,Yes
58,4,77400,8.5,42,4,14,Yes
54,3,91000,5.8,28,6,5,No
45,8,89900,5.7,34,3,13,Yes
36,6,74600,7.7,57,5,2,No
53,8,89800,8.8,35,3,14,Yes
53,3,78600,7.7,31,4,7,Yes
45,3,71200,8.1,35,3,17,No
33,5,78100,5.8,25,3,9,No
60,11,88000,5.4,37,5,15,No
23,7,74600,9.2,63,11,10,Yes
24,4,53000,6.4,42,7,22,Yes
58,3,96700,6.4,35,6,10,Yes
38,8,69300,9.0,39,6,25,Yes
23,8,77600,7.9,22,5,19,No
23,3,59700,7.4,50,4,14,No
49,3,83900,9.8,44,2,14,No
44,6,76600,6.1,35,6,15,No
58,2,85700,8.0,79,4,0,No
53,7,74400,7.1,43,10,12,No
54,5,81700,7.3,31,9,18,No
22,5,65000,9.0,38,5,12,No
40,6,113200,7.7,54,2,5,No
23,1,45700,7.3,41,4,10,No
47,10,99600,8.8,25,3,25,Yes
53,2,76500,6.1,48,2,18,Yes
27,5,83700,5.7,28,3,12,No
53,4,71200,5.4,58,5,18,No
25,5,75600,4.1,46,6,10,Yes
32,4,74700,9.7,39,6,2,Yes
38,5,75300,5.4,51,4,7,No
59,6,95500,6.7,39,4,22,Yes
45,1,96700,6.2,48,4,9,No
26,3,62100,7.2,45,2,10,No
55,2,46500,7.8,30,9,9,Yes
27,5,76200,8.1,33,7,24,No
43,4,112700,6.0,49,5,22,No
32,7,72400,6.8,35,7,27,Yes
37,7,109100,7.5,35,3,13,No
54,2,92200,6.3,26,5,13,No
30,6,72700,9.2,48,3,4,Yes
27,7,93000,7.7,65,9,22,Yes
37,2,91400,7.7,28,4,4,No
50,7,78800,8.0,41,10,15,Yes
24,5,74400,8.5,59,5,6,No
