Sample_ID,Temperature_C,pH,Dissolved_Oxygen_pct,Agitation_RPM,Glucose_g_L,Biomass_g_L,Ethanol_g_L,CO2_mmol_L,Respiratory_Quotient,Pressure_kPa,Batch_Quality
FERM_0061,29.56,6.43,75.28,167.6,26.19,2.2,1.86,18.1,0.908,101.5,Needs_Review
FERM_0062,29.65,5.94,27.18,200.3,19.91,2.67,3.34,27.81,1.121,105.16,Good
FERM_0063,28.4,6.55,87.25,144.2,25.38,1.65,2.01,19.44,0.958,101.97,Needs_Review
FERM_0064,29.14,6.23,53.05,161.7,32.31,1.52,1.49,13.07,0.87,100.71,Needs_Review
FERM_0065,30.92,6.04,46.56,200.0,18.52,3.08,3.02,25.63,1.065,104.09,Good
FERM_0066,31.15,5.8,31.71,234.2,17.83,3.23,2.1,18.71,0.937,101.42,Good
FERM_0067,29.95,5.89,43.97,205.6,28.73,2.0,0.99,8.71,0.741,97.29,Needs_Review
FERM_0068,31.03,6.12,67.35,203.9,22.09,2.98,1.56,16.76,0.867,100.57,Good
FERM_0069,29.93,6.2,53.66,200.4,26.13,2.18,1.3,10.29,0.751,98.49,Needs_Review
FERM_0070,29.29,6.42,73.13,169.0,29.14,2.0,1.62,15.36,0.841,100.04,Needs_Review
FERM_0071,30.52,6.21,57.49,186.6,21.73,2.73,2.03,17.86,0.933,101.79,Good
FERM_0072,31.07,6.07,48.39,236.2,14.22,3.72,3.34,28.44,1.12,104.87,Good
FERM_0073,30.04,6.22,62.79,184.8,23.92,2.25,2.29,19.89,0.943,101.93,Good
FERM_0074,31.07,5.81,28.01,250.5,16.53,3.47,2.26,18.9,0.936,102.16,Good
FERM_0075,27.76,6.72,95.0,120.0,34.0,1.0,1.56,16.65,0.9,101.56,Needs_Review
FERM_0076,30.73,5.98,44.32,224.7,24.49,2.61,1.0,9.77,0.675,97.63,Needs_Review
FERM_0077,29.67,6.08,43.74,205.3,22.08,2.46,1.98,19.27,0.929,101.34,Needs_Review
FERM_0078,30.02,6.31,61.72,183.9,23.25,2.08,2.61,21.7,0.993,102.16,Needs_Review
FERM_0079,29.9,6.32,81.06,177.2,25.5,2.15,1.13,11.8,0.741,98.23,Needs_Review
FERM_0080,28.01,6.61,95.0,120.8,30.77,1.14,2.16,20.35,0.975,102.44,Needs_Review
FERM_0081,29.85,6.2,60.63,190.0,27.02,2.38,2.15,18.29,0.995,102.3,Needs_Review
FERM_0082,30.61,6.15,54.31,198.8,24.57,2.5,1.73,16.95,0.915,100.91,Good
FERM_0083,31.08,5.79,41.46,215.2,17.35,3.78,2.79,23.87,1.069,103.9,Good
FERM_0084,29.55,6.32,95.0,146.1,20.69,2.21,3.21,26.33,1.141,105.07,Good
FERM_0085,29.38,6.34,78.05,158.0,27.93,2.01,1.83,17.97,0.943,101.03,Good
FERM_0086,29.72,6.24,71.86,169.7,24.56,2.06,2.16,19.97,0.912,101.28,Needs_Review
FERM_0087,30.87,6.1,62.69,202.0,19.32,3.08,2.18,17.75,0.885,101.01,Good
FERM_0088,30.2,6.15,61.08,200.8,22.89,2.49,1.77,15.24,0.776,99.46,Needs_Review
FERM_0089,29.32,6.23,62.86,158.6,26.58,2.3,2.23,20.74,1.017,102.52,Needs_Review
FERM_0090,30.48,6.2,53.67,201.9,22.57,2.57,1.52,14.6,0.888,100.1,Needs_Review
FERM_0091,29.82,6.2,62.48,175.6,24.63,2.35,1.98,17.06,0.916,101.76,Good
FERM_0092,30.14,6.05,49.95,217.7,20.64,3.18,2.06,17.22,0.895,101.15,Needs_Review
FERM_0093,29.48,6.45,79.1,158.9,29.46,1.97,2.13,17.64,0.928,101.61,Good
FERM_0094,29.93,6.17,66.4,178.3,23.26,2.25,1.76,20.21,0.953,101.37,Needs_Review
FERM_0095,29.06,6.43,77.53,162.1,25.47,2.45,2.45,21.79,1.04,102.92,Needs_Review
FERM_0096,28.43,6.45,72.56,153.6,34.0,1.13,1.3,12.5,0.782,99.62,Needs_Review
FERM_0097,30.42,6.21,58.55,200.0,21.83,2.64,1.9,18.09,0.912,100.62,Needs_Review
FERM_0098,30.75,5.87,33.57,212.4,25.81,2.34,1.73,13.22,0.823,99.75,Needs_Review
FERM_0099,30.01,6.17,76.26,176.9,25.27,2.31,1.82,15.4,0.879,100.59,Needs_Review
FERM_0100,29.61,6.34,68.1,179.7,24.19,2.31,2.33,19.28,0.962,101.56,Good
FERM_0101,28.68,6.58,86.79,132.4,28.86,1.34,1.96,19.4,0.949,101.47,Needs_Review
FERM_0102,29.97,5.91,30.22,202.4,27.17,1.84,1.51,13.41,0.813,99.43,Needs_Review
FERM_0103,29.53,6.4,91.65,170.2,26.5,2.47,2.62,21.43,0.991,102.23,Good
FERM_0104,29.08,6.42,66.63,171.1,25.46,2.17,2.7,22.56,1.056,103.3,Good
FERM_0105,29.73,6.24,76.93,166.5,24.95,2.35,2.02,19.86,0.967,101.62,Good
FERM_0106,30.13,6.15,43.67,207.2,17.2,3.06,3.12,27.42,1.125,105.33,Good
FERM_0107,31.73,5.85,48.01,223.9,14.8,3.58,2.09,17.47,0.867,102.05,Good
FERM_0108,30.56,6.11,41.97,202.3,26.88,2.46,1.44,12.79,0.791,98.88,Needs_Review
FERM_0109,30.31,6.06,52.85,200.4,24.6,2.24,1.2,9.65,0.772,98.47,Needs_Review
FERM_0110,29.87,6.45,90.25,154.5,20.9,2.64,2.67,24.65,1.068,103.69,Good
FERM_0111,28.2,6.48,81.93,124.7,32.71,1.27,1.79,16.72,0.944,101.5,Needs_Review
FERM_0112,29.59,6.21,62.84,180.5,24.38,2.28,1.66,19.73,0.958,100.74,Good
FERM_0113,30.27,6.28,72.25,177.6,22.91,2.68,2.39,19.35,0.976,102.01,Needs_Review
FERM_0114,32.2,5.73,41.34,241.5,13.92,3.79,2.04,16.74,0.884,100.69,Good
FERM_0115,29.78,6.31,67.27,181.1,20.94,2.9,3.3,28.51,1.146,105.5,Good
FERM_0116,31.07,6.14,64.76,192.3,23.06,2.6,2.12,19.6,0.878,101.38,Good
FERM_0117,30.04,6.43,92.16,163.4,22.78,2.37,2.22,19.76,0.926,101.76,Good
FERM_0118,28.76,6.33,74.27,147.4,28.28,1.46,1.62,18.46,0.949,101.5,Good
FERM_0119,30.92,5.81,52.96,222.7,18.53,3.25,2.6,21.18,1.012,103.16,Good
FERM_0120,30.96,6.15,70.3,209.2,20.72,2.86,2.33,21.16,0.961,102.11,Good
FERM_0121,30.74,6.36,69.08,194.9,19.82,2.75,1.73,14.92,0.857,100.39,Needs_Review
FERM_0122,28.82,6.55,89.01,145.8,28.21,1.81,2.25,17.95,0.895,101.56,Needs_Review
FERM_0123,31.49,6.01,55.04,222.6,10.57,3.86,3.32,29.07,1.127,105.4,Good
FERM_0124,28.57,6.32,65.38,152.4,28.66,1.66,2.44,21.19,1.024,102.81,Needs_Review
FERM_0125,31.0,6.26,77.6,187.4,20.04,3.15,3.11,26.89,1.14,105.11,Good
FERM_0126,32.24,5.73,21.28,260.0,12.49,3.75,2.57,19.53,0.932,101.64,Good
FERM_0127,29.0,6.31,79.64,141.5,30.13,1.4,1.06,11.35,0.8,99.24,Needs_Review
FERM_0128,29.81,6.32,59.82,184.4,28.11,2.19,1.65,16.29,0.914,101.2,Needs_Review
FERM_0129,30.11,6.23,59.18,188.8,21.52,2.39,2.22,18.57,0.908,101.18,Needs_Review
FERM_0130,29.76,6.38,70.85,165.4,23.67,2.43,2.51,22.0,1.023,102.41,Good
FERM_0131,28.73,6.55,83.83,138.4,34.0,1.0,0.37,8.0,0.686,97.27,Needs_Review
FERM_0132,29.85,6.23,67.66,183.3,19.82,2.72,2.78,25.7,1.097,103.91,Good
FERM_0133,28.88,6.61,95.0,130.2,29.56,1.74,1.65,15.48,0.876,100.93,Needs_Review
FERM_0134,30.68,6.21,63.31,205.1,23.28,2.82,2.03,17.39,0.899,100.88,Needs_Review
FERM_0135,29.09,6.31,72.34,161.5,31.31,1.54,1.07,10.34,0.772,98.55,Needs_Review
FERM_0136,31.29,5.97,59.63,223.8,19.57,3.17,1.12,13.69,0.819,99.0,Good
FERM_0137,29.06,6.47,86.46,160.2,26.02,1.98,2.3,20.52,1.031,102.61,Good
FERM_0138,29.82,6.26,51.47,178.7,25.97,2.22,1.76,18.27,0.892,101.01,Needs_Review
FERM_0139,31.25,6.01,58.75,206.3,22.2,2.86,1.23,13.27,0.807,99.56,Needs_Review
FERM_0140,28.63,6.37,85.45,143.1,33.54,1.28,0.49,9.18,0.759,98.44,Needs_Review
FERM_0141,30.21,6.14,59.25,199.7,22.89,2.58,2.01,16.48,0.913,100.69,Needs_Review
FERM_0142,31.53,6.11,65.07,195.7,13.65,3.84,3.33,28.55,1.112,105.2,Good
FERM_0143,28.53,6.49,76.04,140.5,31.69,1.24,1.34,14.44,0.775,99.7,Needs_Review
FERM_0144,30.28,6.2,60.3,184.9,26.0,2.3,1.44,11.28,0.809,98.96,Needs_Review
FERM_0145,29.97,6.12,54.71,196.7,22.17,2.36,2.04,18.14,0.922,101.25,Needs_Review
FERM_0146,30.81,6.18,52.03,210.1,19.14,2.6,2.33,18.44,0.873,101.28,Good
FERM_0147,28.84,6.18,60.61,154.2,34.0,1.07,0.2,8.0,0.65,96.0,Needs_Review
FERM_0148,29.06,6.23,54.99,154.6,31.23,1.43,1.57,14.95,0.914,100.15,Needs_Review
FERM_0149,30.77,6.26,77.02,186.1,22.69,2.67,1.79,18.6,0.949,100.73,Good
FERM_0150,30.91,5.93,49.53,193.8,20.55,2.77,2.44,21.99,1.022,102.85,Good
FERM_0151,30.37,6.04,44.54,205.8,19.49,2.91,3.05,28.64,1.108,105.47,Good
FERM_0152,30.39,6.06,33.23,209.3,20.61,2.99,2.82,23.08,1.045,103.26,Needs_Review
FERM_0153,29.44,6.26,62.2,150.7,28.61,1.87,1.65,15.84,0.869,100.07,Needs_Review
FERM_0154,30.12,6.04,44.31,199.5,24.01,2.28,1.55,13.06,0.845,99.17,Needs_Review
FERM_0155,30.35,6.21,78.81,172.8,17.51,3.19,3.61,29.47,1.164,106.39,Good
FERM_0156,29.28,6.38,84.69,145.5,28.03,1.87,2.14,16.83,0.884,101.06,Good
FERM_0157,31.72,5.77,30.35,234.1,14.28,3.81,2.52,21.9,1.003,102.58,Good
FERM_0158,30.76,6.31,87.85,181.0,19.08,2.68,1.99,21.17,0.931,101.27,Good
FERM_0159,28.68,6.62,88.21,153.1,29.99,1.5,1.79,16.36,0.939,100.85,Needs_Review
FERM_0160,30.88,6.09,51.66,208.2,23.53,2.86,2.0,17.76,0.908,100.95,Good
FERM_0161,29.45,6.04,37.88,173.5,29.78,1.6,1.61,13.69,0.832,99.64,Needs_Review
FERM_0162,30.68,6.31,81.33,191.9,20.13,2.93,1.89,15.45,0.866,101.17,Good
FERM_0163,30.51,5.89,32.39,225.3,18.49,3.2,2.24,20.1,0.952,101.61,Good
FERM_0164,29.11,6.27,47.74,170.3,29.73,1.49,1.38,13.93,0.804,99.21,Needs_Review
FERM_0165,31.19,6.26,65.62,195.7,21.85,2.91,2.0,17.35,0.865,101.24,Good
FERM_0166,30.37,6.29,86.44,164.8,20.13,2.81,2.16,20.08,0.907,101.57,Good
FERM_0167,30.49,6.13,72.65,194.2,21.11,2.91,2.01,18.09,0.937,101.81,Good
FERM_0168,31.58,5.81,46.0,234.7,11.84,4.01,3.65,28.44,1.145,105.28,Good
FERM_0169,29.99,6.28,73.54,172.7,30.41,1.86,0.34,8.0,0.65,96.3,Needs_Review
FERM_0170,29.46,6.46,82.64,154.2,26.14,1.97,2.38,20.5,1.04,102.89,Good
FERM_0171,29.14,6.51,80.26,147.4,27.37,1.8,2.52,22.08,1.08,102.61,Good
FERM_0172,29.17,6.37,75.79,164.2,33.44,1.42,0.37,8.0,0.689,97.04,Needs_Review
FERM_0173,29.83,6.2,64.72,172.8,23.71,2.22,1.86,15.97,0.867,100.5,Needs_Review
FERM_0174,30.08,6.14,56.36,200.5,23.95,2.46,1.74,16.21,0.964,100.41,Good
FERM_0175,30.65,6.01,47.14,191.8,25.3,2.32,1.43,12.66,0.755,99.08,Needs_Review
FERM_0176,30.66,6.19,45.33,205.1,21.34,2.91,1.68,17.6,0.868,100.39,Good
FERM_0177,30.32,5.9,40.55,188.6,26.24,2.21,1.5,11.99,0.814,99.26,Needs_Review
FERM_0178,31.69,5.94,41.6,223.0,12.76,3.8,3.57,27.31,1.172,105.05,Good
FERM_0179,30.01,6.31,52.25,192.3,24.93,2.6,2.56,21.58,1.015,103.36,Needs_Review
FERM_0180,32.34,5.6,20.0,260.0,7.21,4.2,3.55,29.17,1.116,105.8,Good
FERM_0181,30.66,6.09,58.81,207.9,17.96,3.01,2.55,22.67,0.987,103.37,Good
FERM_0182,29.22,6.46,88.92,153.5,30.24,1.52,1.04,10.85,0.773,98.56,Needs_Review
FERM_0183,28.81,6.47,85.06,139.9,30.83,1.43,1.61,13.34,0.81,99.0,Needs_Review
FERM_0184,30.52,6.07,37.74,208.8,21.99,2.77,2.31,21.46,0.985,103.2,Good
FERM_0185,29.5,5.96,52.26,181.2,28.33,1.96,1.11,12.89,0.777,98.92,Needs_Review
FERM_0186,30.94,6.29,67.01,206.8,17.84,3.09,2.71,21.07,0.975,102.82,Good
FERM_0187,30.31,5.9,44.96,197.7,25.0,2.98,1.89,17.57,0.942,101.34,Needs_Review
FERM_0188,29.98,6.17,56.81,191.0,25.45,2.19,1.63,16.34,0.868,100.98,Needs_Review
FERM_0189,29.31,6.37,79.98,163.1,28.51,1.87,1.92,18.77,0.934,101.98,Needs_Review
FERM_0190,28.57,6.42,67.3,163.1,30.81,1.38,1.72,18.35,0.915,101.49,Needs_Review
FERM_0191,29.74,6.16,66.25,168.8,27.68,2.06,1.66,14.97,0.872,100.72,Needs_Review
FERM_0192,30.65,5.95,34.75,224.6,18.24,3.26,2.93,24.9,1.018,103.61,Good
FERM_0193,30.41,6.26,51.75,211.8,26.51,2.51,1.61,14.01,0.827,99.27,Needs_Review
FERM_0194,28.54,6.35,79.59,143.2,30.51,1.32,2.04,17.81,0.918,101.87,Needs_Review
FERM_0195,30.19,6.02,40.05,191.8,22.96,2.35,2.35,19.54,1.027,101.54,Good
FERM_0196,30.83,6.12,66.35,179.1,22.24,2.56,1.92,17.03,0.914,100.96,Needs_Review
FERM_0197,28.95,6.39,73.63,165.4,27.26,1.95,1.99,18.52,0.916,100.77,Needs_Review
FERM_0198,29.97,6.23,64.87,171.7,26.1,2.1,1.55,12.41,0.781,98.99,Good
FERM_0199,30.18,6.16,65.51,182.2,22.97,2.25,2.54,21.6,1.012,102.9,Good
FERM_0200,29.02,6.58,94.96,145.1,30.05,1.61,1.49,15.62,0.883,100.04,Needs_Review
FERM_0201,30.41,6.29,60.47,195.3,24.46,2.59,1.67,16.1,0.878,100.42,Good
FERM_0202,30.63,6.04,52.43,207.1,20.73,2.86,2.53,23.43,1.036,103.2,Good
FERM_0203,31.13,6.07,55.7,215.9,18.68,2.93,2.04,17.12,0.884,101.59,Needs_Review
FERM_0204,31.23,5.96,59.52,219.1,20.33,2.79,1.63,14.39,0.796,100.16,Needs_Review
FERM_0205,28.86,6.38,78.29,139.4,34.0,1.14,0.82,10.15,0.714,97.13,Needs_Review
FERM_0206,29.1,6.41,74.93,153.7,28.03,1.76,2.03,19.51,0.9,102.29,Needs_Review
FERM_0207,30.63,6.16,47.5,199.6,23.25,2.6,1.66,14.2,0.832,99.22,Needs_Review
FERM_0208,30.94,6.07,47.78,210.5,19.44,2.74,3.05,26.52,1.118,104.86,Good
FERM_0209,30.43,5.94,37.4,216.9,25.99,2.29,1.15,8.84,0.708,97.89,Needs_Review
FERM_0210,33.22,5.68,45.49,260.0,7.0,4.2,4.08,32.0,1.2,106.82,Good
FERM_0211,30.79,5.87,37.91,219.2,18.89,2.82,2.2,20.18,0.96,102.42,Good
FERM_0212,30.99,5.97,43.57,214.1,16.71,3.14,2.38,18.97,0.918,101.96,Good
FERM_0213,30.32,6.03,43.17,229.1,20.47,3.08,2.05,17.32,0.916,100.82,Good
FERM_0214,30.8,6.14,63.67,206.7,17.26,2.72,2.47,21.42,0.989,102.02,Good
FERM_0215,29.58,6.19,62.37,183.7,26.93,2.17,1.9,17.49,0.917,100.7,Needs_Review
FERM_0216,30.66,6.21,65.67,208.7,17.66,3.21,2.83,24.89,1.042,103.24,Good
FERM_0217,29.39,6.24,63.0,157.2,31.68,2.09,2.19,17.2,0.92,100.97,Needs_Review
FERM_0218,29.83,6.27,70.0,172.5,27.7,2.2,2.19,17.8,0.921,100.99,Needs_Review
FERM_0219,29.74,6.37,55.29,172.9,27.03,2.02,1.76,14.98,0.883,100.21,Needs_Review
FERM_0220,29.96,6.38,89.23,175.2,23.56,2.23,2.01,16.95,0.869,101.73,Good
FERM_0221,32.21,5.64,25.01,252.0,12.54,3.83,3.01,25.44,1.009,103.89,Good
FERM_0222,28.25,6.52,85.56,135.5,34.0,1.0,0.58,8.0,0.736,96.9,Needs_Review
FERM_0223,30.8,6.2,60.57,208.7,21.16,2.65,1.47,13.13,0.787,99.32,Good
FERM_0224,28.7,6.52,88.08,141.4,28.76,1.51,1.88,17.38,0.931,102.17,Needs_Review
FERM_0225,29.34,6.21,68.71,175.3,25.37,1.93,1.94,20.17,0.912,101.46,Needs_Review
FERM_0226,31.25,6.1,48.34,209.6,19.4,3.21,1.75,18.49,0.904,101.62,Good
FERM_0227,29.92,6.31,63.89,180.5,24.23,2.67,2.06,17.87,0.869,100.88,Needs_Review
FERM_0228,29.23,6.33,74.63,164.7,30.19,1.74,1.79,17.74,0.917,101.31,Needs_Review
FERM_0229,29.45,6.28,80.91,162.7,27.36,1.82,1.73,14.62,0.848,100.12,Needs_Review
FERM_0230,31.07,6.38,82.29,186.1,19.24,2.75,1.78,16.62,0.861,100.15,Good
FERM_0231,29.29,6.22,65.25,166.1,28.44,1.72,1.71,18.87,0.914,101.24,Needs_Review
FERM_0232,30.11,6.09,45.18,187.8,23.84,2.54,1.52,14.44,0.83,99.56,Needs_Review
FERM_0233,30.04,6.03,61.48,179.5,20.52,2.43,2.08,19.08,0.988,102.0,Good
FERM_0234,29.34,6.65,95.0,159.5,30.97,1.68,0.94,8.83,0.725,96.91,Needs_Review
FERM_0235,32.13,5.64,31.94,242.5,11.74,3.94,3.25,27.17,1.073,104.58,Good
FERM_0236,30.17,6.31,75.27,191.0,19.61,2.8,2.59,23.05,0.979,102.93,Good
FERM_0237,27.91,6.73,95.0,121.9,33.47,1.16,1.41,13.98,0.899,100.12,Needs_Review
FERM_0238,29.9,6.03,53.44,185.9,20.87,2.67,2.6,23.76,1.059,103.22,Good
FERM_0239,29.64,6.34,79.78,163.2,23.67,2.4,2.51,24.31,1.051,103.57,Good
FERM_0240,31.19,6.26,75.5,202.4,15.92,3.19,2.92,24.94,1.049,103.85,Good
FERM_0241,29.26,6.31,66.62,165.9,30.95,1.28,0.83,8.05,0.721,97.36,Needs_Review
FERM_0242,29.85,6.25,61.54,203.5,27.78,2.19,1.34,11.34,0.764,98.59,Needs_Review
FERM_0243,30.47,6.21,48.97,192.1,23.01,2.58,1.81,16.8,0.873,101.0,Needs_Review
FERM_0244,31.07,5.82,40.4,224.8,19.65,3.11,2.34,20.37,0.912,102.28,Needs_Review
FERM_0245,28.69,6.48,61.7,155.4,28.01,1.63,2.17,18.71,0.892,101.18,Needs_Review
FERM_0246,29.76,6.15,49.18,190.8,26.97,1.84,1.46,14.05,0.847,99.93,Needs_Review
FERM_0247,29.82,6.22,68.15,174.5,23.48,2.11,1.98,17.41,0.915,101.49,Needs_Review
FERM_0248,29.54,6.13,56.87,167.7,29.12,2.06,1.23,12.05,0.83,99.71,Needs_Review
FERM_0249,31.64,5.89,46.39,234.2,17.76,3.62,2.06,19.43,0.911,100.84,Good
FERM_0250,30.61,6.05,36.91,195.8,22.94,2.43,1.36,12.82,0.767,99.4,Needs_Review
FERM_0251,28.19,6.45,83.68,151.3,31.7,1.46,1.28,10.55,0.789,98.56,Needs_Review
FERM_0252,31.0,6.24,65.89,206.1,22.33,2.84,1.49,13.32,0.782,99.38,Needs_Review
FERM_0253,31.75,5.5,20.0,260.0,16.42,3.78,2.06,17.48,0.921,101.95,Good
FERM_0254,30.47,6.05,55.2,218.3,15.99,3.2,2.83,23.62,1.022,104.02,Good
FERM_0255,28.76,6.5,94.52,135.2,32.97,1.16,0.94,10.03,0.775,98.39,Needs_Review
FERM_0256,29.91,6.2,50.7,182.2,18.89,2.65,3.35,27.97,1.143,104.93,Needs_Review
FERM_0257,31.11,6.21,70.2,200.9,16.55,3.3,2.43,22.42,1.022,103.56,Good
FERM_0258,29.6,6.34,73.72,156.8,29.76,2.09,2.08,16.83,0.909,100.67,Needs_Review
FERM_0259,30.8,5.84,45.69,211.4,23.74,2.55,1.56,13.72,0.835,99.71,Good
FERM_0260,31.03,6.07,54.0,217.2,18.54,2.98,2.73,24.32,1.035,102.99,Good
FERM_0261,29.58,6.46,80.71,152.9,30.36,1.75,1.21,14.56,0.835,100.11,Needs_Review
FERM_0262,30.13,6.25,62.03,183.0,24.05,2.34,2.15,17.81,0.943,101.75,Needs_Review
FERM_0263,27.1,6.8,95.0,120.0,34.0,1.0,2.54,23.26,1.054,103.58,Needs_Review
